This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network,station_id
"ABEI","ABERDEEN",-112.8267,42.9533,1341,"AGRIMET","1"
"AGKO","AGENCY LAKE",-121.9825,42.5653,1265,"AGRIMET","3"
"AHTI","ASHTON",-111.4667,44.0250,1615,"AGRIMET","4"
"ARAO","AURORA",-122.7503,45.2819,43,"AGRIMET","5"
"BANO","BANDON",-124.4172,43.0911,24,"AGRIMET","6"
"BATO","BEATTY",-121.2739,42.4781,1317,"AGRIMET","7"
"BEWO","BEND",-121.3203,44.0475,1113,"AGRIMET","8"
"BKVO","BAKER VALLEY",-117.9636,44.8819,1042,"AGRIMET","9"
"BNDW","BONNEVILLE D",-121.9311,45.6478,24,"AGRIMET","10"
"BOII","BOISE",-116.1861,43.6208,829,"AGRIMET","11"
"BRKO","BROOKINGS",-124.2408,42.0300,24,"AGRIMET","12"
"CEDC","CEDARVILLE",-120.1714,41.5853,1402,"AGRIMET","13"
"CHAW","CHAMOKANE",-117.7392,48.0314,594,"AGRIMET","14"
"CHVO","CHRISTMAS VA",-120.7281,43.2414,1329,"AGRIMET","15"
"CJDW","CHIEF JOSEPH",-119.6356,47.9908,302,"AGRIMET","16"
"CRSM","CRESTON",-114.1278,48.1875,899,"AGRIMET","18"
"CRVO","CORVALLIS",-123.1900,44.6342,70,"AGRIMET","19"
"DEFO","DEE FLAT",-121.6472,45.5736,384,"AGRIMET","20"
"DENI","DWORSHAK-DEN",-116.2206,46.6233,506,"AGRIMET","21"
"DRLM","DEER LODGE",-112.7667,46.3356,1426,"AGRIMET","22"
"DTRO","DETROIT LAKE",-122.1792,44.7300,511,"AGRIMET","23"
"ECHO","ECHO",-119.3500,45.7111,232,"AGRIMET","24"
"EURN","EUREKA",-115.9786,39.6853,1797,"AGRIMET","25"
"FAFI","FAIRFIELD",-114.8250,43.3083,1536,"AGRIMET","26"
"FALN","FALLON",-118.7769,39.4581,1209,"AGRIMET","27"
"FOGO","FOREST GROVE",-123.0836,45.5531,55,"AGRIMET","28"
"FTHI","FORT HALL",-112.4311,43.0714,1355,"AGRIMET","29"
"GCDW","GRAND COULEE",-118.9536,47.9453,402,"AGRIMET","30"
"GDVI","GRAND VIEW",-116.0561,42.9125,786,"AGRIMET","31"
